t,x,y
3.4388413429,-0.8635038137,0.2824237347
3.4488310814,-0.8737742305,0.2926911414
3.4588208199,-0.8833321333,0.3025640547
3.4688105583,-0.8921951056,0.3121699989
3.4788002968,-0.9003843069,0.3214686811
3.4887900352,-0.9079226255,0.3306644559
3.4987797737,-0.9148359895,0.3396854699
3.5087695122,-0.9211503863,0.3486171961
3.5187592506,-0.9268950224,0.3573615551
3.5287489891,-0.9320988059,0.3660746515
3.5387387276,-0.9367905855,0.3747557998
3.5487284660,-0.9409996867,0.3834042251
3.5587182045,-0.9447536469,0.3921884596
3.5687079430,-0.9480800033,0.4009431899
3.5786976814,-0.9510043859,0.4097415209
3.5886874199,-0.9535507560,0.4185954034
3.5986771584,-0.9557409883,0.4274097085
3.6086668968,-0.9575949311,0.4361835420
3.6186566353,-0.9591298699,0.4450595975
3.6286463737,-0.9603607059,0.4539524615
3.6386361122,-0.9612995386,0.4629364610
3.6486258507,-0.9619559646,0.4719740152
3.6586155891,-0.9623366594,0.4810291529
3.6686053276,-0.9624453187,0.4900332689
3.6785950661,-0.9622830153,0.4990796149
3.6885848045,-0.9618478417,0.5081695914
3.6985745430,-0.9611349106,0.5173396468
3.7085642815,-0.9601364136,0.5265901685
3.7185540199,-0.9588413835,0.5358012319
3.7285437584,-0.9572358727,0.5450337529
3.7385334969,-0.9553034902,0.5543538928
3.7485232353,-0.9530240297,0.5637696385
3.7585129738,-0.9503747821,0.5731845498
3.7685027122,-0.9473297596,0.5826615691
3.7784924507,-0.9438607693,0.5922821164
3.7884821892,-0.9399354458,0.6019210219
3.7984719276,-0.9355199337,0.6116820574
3.8084616661,-0.9305763245,0.6215607524
3.8184514046,-0.9250647426,0.6315020323
3.8284411430,-0.9189426899,0.6416047215
3.8384308815,-0.9121646881,0.6517890096
3.8484206200,-0.9046835303,0.6621193886
3.8584103584,-0.8964498639,0.6726014018
3.8684000969,-0.8874126077,0.6831884384
3.8783898354,-0.8775188923,0.6939352751
3.8883795738,-0.8667154312,0.7048362494
3.8983693123,-0.8549478650,0.7158423066
3.9083590508,-0.8421619534,0.7269955873
3.9183487892,-0.8283045292,0.7382788062
3.9283385277,-0.8133226633,0.7496753335
3.9383282661,-0.7971658707,0.7611817122
3.9483180046,-0.7797865868,0.7727645636
3.9583077431,-0.7611405849,0.7844055891
3.9682974815,-0.7411876917,0.7960804105
3.9782872200,-0.7198936939,0.8077732325
3.9882769585,-0.6972305179,0.8194409609
3.9982666969,-0.6731783748,0.8310592771
4.0082759857,-0.6477235556,0.8425842524
4.0182895660,-0.6208633780,0.8539760113
4.0283031464,-0.5926055312,0.8651705384
4.0383167267,-0.5629673600,0.8761515617
4.0483303070,-0.5319785476,0.8868760467
4.0583438873,-0.4996810257,0.8972535729
4.0683574677,-0.4661285877,0.9073041081
4.0783710480,-0.4313879609,0.9169180393
4.0883846283,-0.3955381513,0.9260856509
4.0983982086,-0.3586709201,0.9347568154
4.1084117889,-0.3208890259,0.9429327846
4.1184253693,-0.2823064029,0.9505437613
4.1284389496,-0.2430466413,0.9575780034
4.1384525299,-0.2032416314,0.9640517831
4.1484661102,-0.1630308777,0.9699048400
4.1584796906,-0.1225575879,0.9751685262
4.1684932709,-0.0819695964,0.9798368216
4.1785068512,-0.0414159223,0.9839197993
4.1885204315,-0.0010447126,0.9874418378
4.1985340118,0.0389983468,0.9904321432
4.2085475922,0.0785722658,0.9929184914
4.2185611725,0.1175425649,0.9949449897
4.2285747528,0.1557828039,0.9965500236
4.2385883331,0.1931766421,0.9977811575
4.2486019135,0.2296182215,0.9986862540
4.2586154938,0.2650140524,0.9993136525
4.2686290741,0.2992832959,0.9997110367
4.2786426544,0.3323586285,0.9999247193
4.2886562347,0.3641835153,0.9999983907
4.2986698151,0.3947171867,0.9999725223
4.3086833954,0.4239300191,0.9998828173
4.3186969757,0.4518049359,0.9997605085
