0,1,2
1.7199999,0.58228785,-0.66453
1.73,0.5959977,-0.67164433
1.74,0.6096171,-0.67866
1.75,0.62314874,-0.68558043
1.76,0.63659465,-0.69240904
1.77,0.64995706,-0.69914925
1.78,0.6632385,-0.705804
1.79,0.67644066,-0.7123761
1.8,0.68956697,-0.71886957
1.81,0.70261866,-0.7252857
1.8199999,0.7155984,-0.7316287
1.8299999,0.7285081,-0.73789996
1.8399999,0.74135,-0.74410176
1.8499999,0.7541255,-0.7502377
1.86,0.76683706,-0.75630844
1.87,0.7794868,-0.7623178
1.88,0.79207546,-0.76826626
1.89,0.8046048,-0.77415633
1.9,0.8170774,-0.77999
1.91,0.82949436,-0.78576905
1.92,0.84185636,-0.7914943
1.93,0.854166,-0.7971688
1.9399999,0.86642355,-0.8027931
1.9499999,0.8786306,-0.808369
1.9599999,0.89078814,-0.8138973
1.9699999,0.90289706,-0.8193803
1.9799999,0.91495854,-0.8248185
1.99,0.92697436,-0.83021384
2.0,0.93894356,-0.8355665
2.01,0.9508682,-0.84087855
2.02,0.96274906,-0.8461505
2.03,0.97458655,-0.8513834
2.04,0.9863809,-0.85657835
2.05,0.9981325,-0.86173576
2.06,1.009843,-0.8668575
2.07,1.0215131,-0.87194407
2.08,1.0331422,-0.8769956
2.09,1.0447314,-0.8820138
2.1,1.0562811,-0.88699883
2.11,1.0677919,-0.89195144
2.12,1.0792632,-0.89687264
2.1299999,1.0906973,-0.90176296
2.1399999,1.102092,-0.9066224
2.1499999,1.1134493,-0.9114521
2.1599998,1.1247706,-0.91625327
2.1699998,1.1360545,-0.9210251
2.18,1.147302,-0.9257695
2.19,1.158513,-0.9304858
2.2,1.1696883,-0.93517506
2.21,1.1808281,-0.9398374
2.22,1.1919335,-0.94447404
2.23,1.2030039,-0.9490844
2.24,1.2140397,-0.9536694
2.25,1.2250414,-0.9582294
2.26,1.236009,-0.9627645
2.27,1.2469442,-0.96727586
2.28,1.2578462,-0.9717627
2.29,1.2687151,-0.97622603
2.3,1.2795526,-0.9806663
2.31,1.2903575,-0.9850833
2.32,1.3011318,-0.98947793
2.33,1.3118746,-0.9938499
2.34,1.3225874,-0.9982
2.35,1.3332694,-1.0025278
2.36,1.3439211,-1.006834
2.37,1.354544,-1.0111191
2.3799999,1.3651377,-1.015383
2.3899999,1.3757027,-1.0196259
2.3999999,1.3862401,-1.0238488
2.4099998,1.3967489,-1.0280507
2.4199998,1.40723,-1.0322322
2.4299998,1.4176849,-1.0363948
2.44,1.4281136,-1.040538
2.45,1.4385142,-1.0446604
2.46,1.4488894,-1.0487636
2.47,1.4592398,-1.0528486
2.48,1.4695638,-1.056914
2.49,1.4798635,-1.0609615
2.5,1.4901392,-1.0649902
2.51,1.5003903,-1.0690011
2.52,1.5106174,-1.0729938
2.53,1.5208213,-1.0769686
2.54,1.5310018,-1.0809262
2.55,1.5411593,-1.084866
2.56,1.5512944,-1.0887893
2.57,1.561407,-1.0926955
2.58,1.5714977,-1.0965847
2.59,1.5815673,-1.1004581
2.6,1.5916141,-1.1043148
2.61,1.6016401,-1.1081557
2.62,1.611645,-1.1119809
2.6299999,1.6216295,-1.1157906
2.6399999,1.631593,-1.1195848
2.6499999,1.6415354,-1.1233636
2.6599998,1.6514587,-1.1271278
2.6699998,1.6613615,-1.1308775
2.6799998,1.6712441,-1.1346121
2.69,1.681108,-1.1383327
2.7,1.6909515,-1.1420397
2.71,1.7007756,-1.145732
2.72,1.7105802,-1.1494107
2.73,1.7203658,-1.1530764
2.74,1.7301326,-1.1567285
2.75,1.7398808,-1.160368
2.76,1.7496101,-1.1639947
2.77,1.7593212,-1.1676084
2.78,1.7690119,-1.1712095
2.79,1.7786864,-1.1747983
2.8,1.7883418,-1.1783754
2.81,1.7979783,-1.1819404
2.82,1.807597,-1.1854936
2.83,1.8171984,-1.1890354
2.84,1.8267813,-1.1925651
2.85,1.836347,-1.1960844
2.86,1.845894,-1.1995924
2.87,1.855424,-1.2030894
2.8799999,1.8649364,-1.2065759
2.8899999,1.8744308,-1.2100513
2.8999999,1.883909,-1.2135166
2.9099998,1.8933682,-1.2169709
2.9199998,1.902812,-1.2204155
2.9299998,1.9122388,-1.2238505
2.9399998,1.9216468,-1.2272745
2.95,1.9310389,-1.2306893
2.96,1.9404147,-1.2340945
2.97,1.9497726,-1.2374892
2.98,1.9591155,-1.2408754
2.99,1.9684405,-1.2442517
3.0,1.9777498,-1.2476188
3.01,1.9870427,-1.2509764
3.02,1.9963193,-1.2543249
3.03,2.0055797,-1.2576647
3.04,2.014825,-1.2609959
3.05,2.0240529,-1.2643175
3.06,2.033267,-1.2676308
3.07,2.042465,-1.2709353
3.08,2.0516462,-1.2742306
3.09,2.0608132,-1.2775174
3.1,2.0699651,-1.2807963
3.11,2.0791006,-1.2840663
3.12,2.0882218,-1.2873275
3.1299999,2.0973284,-1.2905809
3.1399999,2.1064198,-1.2938255
3.1499999,2.115497,-1.2970626
3.1599998,2.124559,-1.3002907
3.1699998,2.1336071,-1.303511
3.1799998,2.14264,-1.3067225
3.1899998,2.1516602,-1.309927
3.1999998,2.1606655,-1.3131229
3.21,2.1696572,-1.316311
3.22,2.1786351,-1.3194907
3.23,2.1875992,-1.3226621
3.24,2.1965506,-1.3258265
3.25,2.2054877,-1.328983
3.26,2.2144108,-1.3321304
3.27,2.2233212,-1.3352706
3.28,2.2322197,-1.3384037
3.29,2.241105,-1.3415283
3.3,2.2499766,-1.3446453
3.31,2.2588372,-1.3477547
3.32,2.2676835,-1.3508565
3.33,2.276519,-1.3539507
3.34,2.2853413,-1.3570367
3.35,2.294152,-1.3601158
3.36,2.3029501,-1.3631867
3.37,2.3117363,-1.3662506
3.3799999,2.3205109,-1.3693063
3.3899999,2.3292751,-1.3723556
3.3999999,2.3380256,-1.3753967
3.4099998,2.3467658,-1.3784302
3.4199998,2.3554952,-1.3814566
3.4299998,2.3642125,-1.384476
3.4399998,2.3729186,-1.3874875
3.4499998,2.381615,-1.3904922
